fecha,producto,region,cantidad,precio_unitario
2015-08-22,Silla ergonomica,Sur,5,1676.61
2015-08-03,Mouse ergonomico,Norte,3,798.85
2015-08-27,Mouse ergonomico,Centro,3,1916.15
2015-08-07,Webcam HD,Bajio,6,1582.83
2015-08-28,Silla ergonomica,Bajio,8,2131.34
2015-08-28,Laptop Pro 14,Norte,7,2398.1
2015-08-19,Mouse ergonomico,Sur,13,687.52
2015-08-19,Monitor 27 4K,Centro,3,275.7
2015-08-04,Monitor 27 4K,Centro,6,2448.04
2015-08-01,Laptop Pro 14,Norte,3,1793.04
2015-08-23,Laptop Pro 14,Norte,12,307.38
2015-08-07,Webcam HD,Norte,15,2195.92
2015-08-04,Silla ergonomica,Centro,4,667.27
2015-08-02,Laptop Pro 14,Norte,14,1928.28
2015-08-16,Docking USB-C,Norte,3,425.08
2015-08-10,Mouse ergonomico,Sur,6,1174.66
2015-08-12,Laptop Pro 14,Sur,15,849.96
2015-08-11,Webcam HD,Bajio,14,861.59
2015-08-26,Laptop Pro 14,Bajio,1,1203.83
2015-08-12,Monitor 27 4K,Bajio,12,310.67
2015-08-23,Mouse ergonomico,Norte,10,2085.57
2015-08-14,Teclado mecanico,Norte,9,664.68
2015-08-01,Laptop Pro 14,Sur,8,420.08
2015-08-16,Teclado mecanico,Sur,14,1384.82
2015-08-10,Teclado mecanico,Centro,12,732.51
2015-08-04,Teclado mecanico,Norte,8,2012.2
2015-08-21,Monitor 27 4K,Sur,6,418.84
2015-08-24,Silla ergonomica,Norte,7,2243.43
2015-08-12,Laptop Pro 14,Centro,5,805.35
2015-08-13,Teclado mecanico,Centro,8,491.83
2015-08-12,Laptop Pro 14,Sur,9,557.25
2015-08-22,Audifonos ANC,Sur,3,1265.26
2015-08-19,Docking USB-C,Centro,3,968.32
2015-08-17,Mouse ergonomico,Centro,5,893.47
2015-09-24,Teclado mecanico,Centro,4,1863.27
2015-09-06,Webcam HD,Centro,6,2398.32
2015-09-24,Docking USB-C,Norte,3,2413.49
2015-09-07,Monitor 27 4K,Bajio,3,2462.82
2015-09-24,Docking USB-C,Sur,7,829.79
2015-09-21,Monitor 27 4K,Norte,5,674.82
2015-09-15,Silla ergonomica,Norte,1,1117.75
2015-09-23,Silla ergonomica,Centro,9,2456.03
2015-09-15,Docking USB-C,Norte,3,791.59
2015-09-01,Silla ergonomica,Centro,15,2161.65
2015-09-28,Silla ergonomica,Centro,11,1861.11
2015-09-22,Mouse ergonomico,Centro,11,485.7
2015-09-11,Silla ergonomica,Sur,11,1811.5
2015-09-08,Silla ergonomica,Bajio,12,1839.06
2015-09-09,Teclado mecanico,Bajio,8,1246.95
2015-09-17,Silla ergonomica,Centro,15,1705.33
2015-09-13,Laptop Pro 14,Bajio,15,2441.62
2015-09-09,Laptop Pro 14,Centro,3,1847.3
2015-09-17,Mouse ergonomico,Sur,2,2148.47
2015-09-18,Audifonos ANC,Centro,12,1294.19
2015-09-21,Laptop Pro 14,Sur,9,988.56
2015-09-07,Audifonos ANC,Centro,7,1381.72
2015-09-24,Monitor 27 4K,Sur,11,330.22
2015-09-13,Docking USB-C,Bajio,1,230.61
2015-09-14,Silla ergonomica,Sur,10,809.86
2015-09-10,Mouse ergonomico,Bajio,9,2434.45
2015-09-15,Silla ergonomica,Centro,3,497.39
2015-09-26,Monitor 27 4K,Centro,8,1677.06
2015-09-27,Mouse ergonomico,Centro,6,1731.89
2015-09-15,Silla ergonomica,Sur,13,1461.02
2015-09-25,Teclado mecanico,Bajio,6,2002.26
2015-09-09,Mouse ergonomico,Bajio,11,783.16
2015-09-22,Silla ergonomica,Centro,8,206.2
2015-09-12,Docking USB-C,Centro,11,894.19
2015-09-16,Audifonos ANC,Bajio,10,1665.79
2015-09-05,Webcam HD,Sur,14,1085.75
2015-09-27,Monitor 27 4K,Sur,13,2368.01
2015-09-21,Webcam HD,Norte,11,226.4
2015-09-21,Monitor 27 4K,Sur,5,1598.86
2015-09-28,Teclado mecanico,Centro,3,1985.5
2015-10-26,Webcam HD,Centro,4,2279.4
2015-10-20,Teclado mecanico,Norte,11,2273.78
2015-10-07,Docking USB-C,Bajio,12,690.13
2015-10-24,Monitor 27 4K,Bajio,11,2230.17
2015-10-09,Monitor 27 4K,Bajio,4,2102.22
2015-10-16,Audifonos ANC,Norte,8,1274.32
2015-10-23,Teclado mecanico,Bajio,4,1345.8
2015-10-06,Laptop Pro 14,Sur,8,1800.54
2015-10-22,Audifonos ANC,Sur,14,1271.25
2015-10-14,Silla ergonomica,Norte,3,1665.19
2015-10-01,Laptop Pro 14,Norte,11,1894.04
2015-10-26,Webcam HD,Norte,9,1313.59
2015-10-02,Teclado mecanico,Centro,12,1155.86
2015-10-11,Teclado mecanico,Norte,14,1715.75
2015-10-16,Webcam HD,Centro,5,1200.94
2015-10-09,Silla ergonomica,Norte,14,865.04
2015-10-27,Webcam HD,Bajio,7,967.56
2015-10-28,Docking USB-C,Sur,4,1705.49
2015-10-11,Monitor 27 4K,Centro,6,1840.32
2015-10-19,Teclado mecanico,Norte,13,2491.94
2015-10-24,Silla ergonomica,Bajio,9,1520.3
2015-10-10,Silla ergonomica,Norte,1,306.71
2015-10-20,Audifonos ANC,Norte,13,1351.94
2015-10-20,Silla ergonomica,Centro,11,1749.51
2015-10-07,Monitor 27 4K,Norte,11,1657.26
2015-10-04,Teclado mecanico,Centro,14,285.05
2015-10-21,Monitor 27 4K,Norte,6,2205.42
2015-10-26,Teclado mecanico,Sur,9,1833.31
2015-10-06,Docking USB-C,Bajio,1,932.5
2015-10-19,Silla ergonomica,Norte,8,1505.27
2015-10-27,Laptop Pro 14,Norte,13,2063.76
2015-10-15,Silla ergonomica,Norte,1,1763.91
2015-10-16,Teclado mecanico,Bajio,9,434.7
2015-10-07,Audifonos ANC,Centro,11,235.72
2015-10-01,Laptop Pro 14,Norte,14,402.72
2015-10-05,Monitor 27 4K,Bajio,1,833.53
2015-10-15,Mouse ergonomico,Centro,15,315.32
2015-10-24,Teclado mecanico,Norte,5,1645.83
2015-10-15,Audifonos ANC,Sur,15,2417.93
2015-10-01,Laptop Pro 14,Norte,1,2231.66
2015-11-13,Monitor 27 4K,Sur,5,1877.72
2015-11-28,Teclado mecanico,Bajio,10,337.49
2015-11-19,Webcam HD,Bajio,8,1756.82
2015-11-26,Teclado mecanico,Norte,6,2393.95
2015-11-21,Teclado mecanico,Bajio,8,1087.2
2015-11-09,Audifonos ANC,Sur,5,843.79
2015-11-28,Webcam HD,Norte,14,547.58
2015-11-19,Docking USB-C,Bajio,15,766.06
2015-11-22,Silla ergonomica,Bajio,10,1974.32
2015-11-26,Mouse ergonomico,Bajio,5,1783.67
2015-11-09,Webcam HD,Sur,7,561.75
2015-11-10,Laptop Pro 14,Centro,13,2248.41
2015-11-09,Teclado mecanico,Bajio,6,1429.48
2015-11-26,Audifonos ANC,Bajio,4,2011.69
2015-11-10,Mouse ergonomico,Norte,11,1109.64
2015-11-09,Mouse ergonomico,Norte,13,1085.44
2015-11-18,Monitor 27 4K,Sur,13,344.05
2015-11-19,Silla ergonomica,Sur,15,2116.65
2015-11-16,Webcam HD,Centro,4,689.2
2015-11-06,Monitor 27 4K,Sur,6,1529.09
2015-11-13,Webcam HD,Centro,4,302.57
2015-11-12,Audifonos ANC,Norte,6,1655.31
2015-11-05,Monitor 27 4K,Sur,10,269.83
2015-11-17,Docking USB-C,Norte,2,277.23
2015-11-19,Audifonos ANC,Centro,5,2328.64
2015-11-14,Docking USB-C,Norte,8,1964.67
2015-11-09,Teclado mecanico,Norte,6,662.27
2015-11-13,Teclado mecanico,Norte,1,317.29
2015-11-28,Webcam HD,Bajio,8,2378.57
2015-11-28,Monitor 27 4K,Bajio,15,475.81
2015-11-09,Monitor 27 4K,Sur,10,736.38
2015-11-22,Monitor 27 4K,Bajio,3,1231.19
2015-11-12,Teclado mecanico,Centro,12,709.96
2015-11-09,Laptop Pro 14,Sur,1,2276.34
2015-11-27,Laptop Pro 14,Norte,5,2008.66
2015-11-02,Audifonos ANC,Norte,3,930.67
2015-11-07,Laptop Pro 14,Sur,10,1560.37
2015-11-16,Monitor 27 4K,Sur,6,791.12
2015-11-12,Monitor 27 4K,Bajio,7,587.73
2015-11-26,Mouse ergonomico,Centro,15,1758.58
2015-12-15,Laptop Pro 14,Centro,13,282.83
2015-12-03,Mouse ergonomico,Sur,15,1922.9
2015-12-04,Audifonos ANC,Bajio,14,249.99
2015-12-15,Monitor 27 4K,Sur,6,2093.04
2015-12-04,Audifonos ANC,Sur,3,963.55
2015-12-06,Laptop Pro 14,Bajio,9,2245.43
2015-12-28,Audifonos ANC,Centro,5,1162.0
2015-12-05,Mouse ergonomico,Norte,5,1513.28
2015-12-11,Docking USB-C,Centro,5,1329.32
2015-12-15,Webcam HD,Bajio,2,552.75
2015-12-21,Laptop Pro 14,Centro,9,1298.15
2015-12-04,Docking USB-C,Sur,13,663.73
2015-12-14,Webcam HD,Sur,4,2327.68
2015-12-13,Monitor 27 4K,Sur,7,2261.26
2015-12-27,Laptop Pro 14,Sur,3,2450.85
2015-12-15,Laptop Pro 14,Sur,9,522.33
2015-12-26,Laptop Pro 14,Sur,3,1028.23
2015-12-14,Laptop Pro 14,Centro,5,1514.08
2015-12-27,Teclado mecanico,Centro,9,1972.03
2015-12-07,Teclado mecanico,Norte,14,401.07
2015-12-25,Audifonos ANC,Sur,3,673.87
2015-12-19,Mouse ergonomico,Sur,4,223.08
2015-12-27,Silla ergonomica,Norte,9,2064.49
2015-12-10,Webcam HD,Bajio,2,235.52
2015-12-05,Audifonos ANC,Sur,4,627.92
2015-12-02,Webcam HD,Centro,12,1053.68
2015-12-12,Laptop Pro 14,Bajio,9,364.09
2015-12-23,Webcam HD,Centro,14,2109.1
2015-12-25,Webcam HD,Bajio,10,1928.03
2015-12-10,Laptop Pro 14,Norte,12,1338.05
2015-12-17,Laptop Pro 14,Centro,1,760.14
2015-12-08,Monitor 27 4K,Centro,3,436.15
2015-12-18,Docking USB-C,Norte,1,421.88
2015-12-09,Mouse ergonomico,Norte,14,1578.62
2015-12-17,Audifonos ANC,Centro,12,1221.69
2015-12-28,Webcam HD,Norte,12,611.63
2015-12-04,Docking USB-C,Bajio,8,1547.57
2015-12-04,Docking USB-C,Norte,2,1133.0
2015-12-18,Teclado mecanico,Centro,14,722.18
2015-12-24,Audifonos ANC,Bajio,3,2380.85
2015-12-01,Monitor 27 4K,Bajio,16,8999.0
2015-12-20,Monitor 27 4K,Norte,16,8999.0
2015-12-02,Monitor 27 4K,Sur,15,8999.0
2015-12-13,Monitor 27 4K,Centro,15,8999.0
2015-12-23,Monitor 27 4K,Bajio,19,8999.0
2015-12-26,Monitor 27 4K,Sur,16,8999.0
2015-12-28,Monitor 27 4K,Norte,15,8999.0
2015-12-17,Monitor 27 4K,Centro,20,8999.0
2015-12-12,Monitor 27 4K,Centro,16,8999.0
2015-12-22,Monitor 27 4K,Norte,15,8999.0
2015-12-04,Monitor 27 4K,Centro,11,8999.0
2015-12-11,Monitor 27 4K,Bajio,13,8999.0
2015-12-17,Monitor 27 4K,Norte,13,8999.0
2015-12-05,Monitor 27 4K,Bajio,16,8999.0
2015-12-25,Monitor 27 4K,Bajio,20,8999.0
2015-12-02,Monitor 27 4K,Norte,10,8999.0
2015-12-28,Monitor 27 4K,Sur,20,8999.0
2015-12-20,Monitor 27 4K,Sur,20,8999.0
2015-12-18,Monitor 27 4K,Norte,19,8999.0
2015-12-04,Monitor 27 4K,Sur,11,8999.0
2015-12-17,Monitor 27 4K,Norte,16,8999.0
2015-12-08,Monitor 27 4K,Norte,14,8999.0
2015-12-04,Monitor 27 4K,Sur,15,8999.0
2015-12-21,Monitor 27 4K,Centro,11,8999.0
2015-12-02,Monitor 27 4K,Sur,11,8999.0
2015-12-15,Monitor 27 4K,Centro,17,8999.0
2015-12-04,Monitor 27 4K,Centro,14,8999.0
2015-12-14,Monitor 27 4K,Sur,14,8999.0
2015-12-08,Monitor 27 4K,Norte,18,8999.0
2015-12-10,Monitor 27 4K,Bajio,19,8999.0
2015-12-23,Monitor 27 4K,Centro,20,8999.0
2015-12-13,Monitor 27 4K,Centro,18,8999.0
2015-12-23,Monitor 27 4K,Sur,17,8999.0
2015-12-18,Monitor 27 4K,Sur,19,8999.0
2015-12-16,Monitor 27 4K,Bajio,14,8999.0
2015-12-01,Monitor 27 4K,Centro,15,8999.0
